PROJECT_ID,PROJECT_NAME,PROJECT_MANAGER,START_DATE,END_DATE,DURATION_DAYS,TOTAL_BUDGET_USD,STATUS
PRJ-1000,Central Wind Phase 3,L. Wang,18-06-2025,16-09-2025,90,20390996,Closed
PRJ-1001,Rural Substation Phase 1,L. Wang,26-02-2026,26-06-2026,120,12346255,Active
PRJ-1002,Central Compliance Phase 3,L. Wang,17-09-2025,04-11-2025,48,5088631,Active
PRJ-1003,North Grid Phase 2,L. Wang,20-04-2025,25-05-2025,35,3185758,Closed
PRJ-1004,East Substation Phase 3,K. Jones,17-02-2026,24-03-2026,35,4066465,Active
PRJ-1005,Metro Substation Phase 2,L. Wang,26-10-2025,30-11-2025,35,3616480,Active
PRJ-1006,North Solar Phase 1,L. Wang,20-01-2025,09-03-2025,48,55964163,Closed
PRJ-1007,Rural Wind Phase 3,J. Smith,10-09-2025,28-10-2025,48,7700800,Active
PRJ-1008,Metro Compliance Phase 2,L. Wang,29-03-2025,08-04-2025,10,1009307,Closed
PRJ-1009,South Grid Phase 3,J. Smith,11-06-2025,10-08-2025,60,6294071,Closed
PRJ-1010,East Substation Phase 4,R. Dias,27-10-2025,14-12-2025,48,7378125,Active
PRJ-1011,North Wind Phase 4,T. Nguyen,12-12-2025,16-01-2026,35,3188827,Active
PRJ-1012,East Grid Phase 2,R. Dias,22-09-2025,16-10-2025,24,2498992,Active
PRJ-1013,Central Compliance Phase 3,K. Jones,15-12-2025,19-01-2026,35,3984706,Active
PRJ-1014,East Hydro Phase 2,K. Jones,23-01-2026,10-02-2026,18,2068919,Active
PRJ-1015,South Solar Phase 2,R. Dias,27-01-2026,06-02-2026,10,932505,Active
PRJ-1016,Rural Compliance Phase 2,T. Nguyen,05-11-2025,04-01-2026,60,6123447,Active
PRJ-1017,Metro Grid Phase 3,M. Garcia,25-10-2025,23-01-2026,90,15262429,Active
PRJ-1018,East Grid Phase 3,M. Garcia,12-01-2026,16-02-2026,35,3019533,Active
PRJ-1019,North Substation Phase 3,T. Nguyen,30-12-2025,16-02-2026,48,7123449,Active
PRJ-1020,East Maintenance Phase 1,R. Dias,18-10-2025,05-12-2025,48,6345842,Active
PRJ-1021,North Compliance Phase 3,L. Wang,11-02-2026,12-04-2026,60,6168134,Active
PRJ-1022,Metro Substation Phase 3,J. Smith,06-09-2025,11-10-2025,35,4228524,Active
PRJ-1023,South Grid Phase 4,M. Garcia,09-09-2025,27-09-2025,18,2280885,Closed
