PROJECT_ID,PROJECT_NAME,STATUS,TOTAL_BUDGET,PRIOR_SPEND,CURRENT_TIMESHEET_SPEND,TOTAL_SPEND,PERCENT_USED
PRJ-1001,Rural Substation Phase 1,Active,12346255,13851728.66,26683.0,13878411.66,112.4
PRJ-1019,North Substation Phase 3,Active,7123449,7896870.15,44415.0,7941285.15,111.5
PRJ-1024,Central Maintenance Phase 2,Active,21932124,23959261.99,49440.75,24008702.74,109.5
PRJ-1082,Rural Hydro Phase 3,Active,15075372,14709367.45,35012.0,14744379.45,97.8
PRJ-1042,South Wind Phase 2,Active,2227887,2132914.46,34279.75,2167194.21,97.3
PRJ-1026,West Maintenance Phase 2,Active,1086935,1026099.66,28240.5,1054340.16,97.0
PRJ-1101,South Hydro Phase 1,Active,4494520,4268078.65,32123.0,4300201.65,95.7
PRJ-1002,Central Compliance Phase 3,Active,5088631,4813113.91,38157.25,4851271.16,95.3
PRJ-1088,Rural Substation Phase 3,Active,69931278,65528704.67,30552.75,65559257.42,93.7
PRJ-1020,East Maintenance Phase 1,Active,6345842,5885958.64,34195.5,5920154.14,93.3
PRJ-1062,West Compliance Phase 3,Active,6417994,5966430.16,23309.75,5989739.91,93.3
PRJ-1016,Rural Compliance Phase 2,Active,6123447,5114021.18,31869.0,5145890.18,84.0
PRJ-1004,East Substation Phase 3,Active,4066465,3380125.51,28534.0,3408659.51,83.8
PRJ-1050,East Substation Phase 3,Active,16991612,14139693.14,53500.75,14193193.89,83.5
PRJ-1052,West Compliance Phase 1,Active,5731622,4630495.15,30541.0,4661036.15,81.3
PRJ-1048,West Hydro Phase 3,Active,2833190,2258230.29,42141.5,2300371.79,81.2
PRJ-1060,East Grid Phase 1,Active,3759783,2955087.95,43252.0,2998339.95,79.7
PRJ-1044,Metro Grid Phase 3,Active,7655777,5939464.23,43330.75,5982794.98,78.1
PRJ-1047,Rural Maintenance Phase 2,Active,3201141,2440258.01,46498.25,2486756.26,77.7
PRJ-1012,East Grid Phase 2,Active,2498992,1862635.43,27064.0,1889699.43,75.6
PRJ-1021,North Compliance Phase 3,Active,6168134,4574178.1,45772.5,4619950.6,74.9
PRJ-1073,North Compliance Phase 3,Active,6903973,4910755.95,55926.25,4966682.2,71.9
PRJ-1046,West Grid Phase 1,Active,2821614,1998466.1,27905.5,2026371.6,71.8
PRJ-1104,East Grid Phase 3,Active,3759846,2617641.85,43826.0,2661467.85,70.8
PRJ-1027,Metro Solar Phase 3,Active,16923561,11880472.68,29445.0,11909917.68,70.4
PRJ-1087,East Wind Phase 3,Active,1813527,1188514.84,56210.25,1244725.09,68.6
PRJ-1039,North Grid Phase 1,Active,1883524,1170695.53,52089.0,1222784.53,64.9
PRJ-1112,Metro Maintenance Phase 1,Active,6235401,3963469.38,42449.25,4005918.63,64.2
PRJ-1099,North Maintenance Phase 1,Active,6459014,4004748.96,33847.5,4038596.46,62.5
PRJ-1061,North Substation Phase 4,Active,3849290,2313573.54,57413.5,2370987.04,61.6
PRJ-1029,North Hydro Phase 4,Active,16404204,9802176.12,41150.0,9843326.12,60.0
PRJ-1017,Metro Grid Phase 3,Active,15262429,9030006.03,43923.75,9073929.78,59.5
PRJ-1014,East Hydro Phase 2,Active,2068919,1190080.8,37928.75,1228009.55,59.4
PRJ-1095,East Solar Phase 1,Active,4067565,2355489.33,35006.75,2390496.08,58.8
PRJ-1081,West Grid Phase 4,Active,7364288,4110722.9,23333.25,4134056.15,56.1
PRJ-1066,West Grid Phase 1,Active,6362844,3532741.48,13529.5,3546270.98,55.7
PRJ-1096,Metro Grid Phase 2,Active,2624722,1379575.02,34491.25,1414066.27,53.9
PRJ-1036,East Grid Phase 3,Active,18132291,9461675.01,35862.75,9497537.76,52.4
PRJ-1054,Metro Maintenance Phase 2,Active,12006844,6135847.38,33105.0,6168952.38,51.4
PRJ-1110,Rural Maintenance Phase 4,Active,15873855,7991780.38,28670.5,8020450.88,50.5
PRJ-1064,East Hydro Phase 1,Active,55472321,26027997.45,54276.0,26082273.45,47.0
PRJ-1041,South Substation Phase 1,Active,69631356,31761828.96,30228.25,31792057.21,45.7
