EMPLID,NAME,FIRM,PROJECT_ID,WORK_DATE,TRC,HOURS,BILL_RATE,TOTAL_COST
C50211,Consultant_212,Consulting_Firm_1,PRJ-1040,05-01-2026,REG,7.8,350,2730
C50184,Consultant_185,Consulting_Firm_10,PRJ-1106,05-01-2026,REG,7.5,350,2625
C50044,Consultant_45,Consulting_Firm_1,PRJ-1037,05-01-2026,REG,4.1,150,615
C50051,Consultant_52,Consulting_Firm_2,PRJ-1069,05-01-2026,REG,4.2,150,630
C50030,Consultant_31,Consulting_Firm_15,PRJ-1091,05-01-2026,REG,6.2,450,2790
C50135,Consultant_136,Consulting_Firm_3,PRJ-1031,05-01-2026,REG,7,275,1925
C50103,Consultant_104,Consulting_Firm_5,PRJ-1035,05-01-2026,OT,9.9,350,5197.5
C50028,Consultant_29,Consulting_Firm_14,PRJ-1086,05-01-2026,REG,7.9,350,2765
C50018,Consultant_19,Consulting_Firm_14,PRJ-1104,05-01-2026,REG,4.5,350,1575
C50024,Consultant_25,Consulting_Firm_15,PRJ-1028,05-01-2026,REG,4.5,275,1237.5
C50156,Consultant_157,Consulting_Firm_12,PRJ-1068,05-01-2026,REG,6.3,450,2835
C50238,Consultant_239,Consulting_Firm_6,PRJ-1045,05-01-2026,REG,5.5,185,1017.5
C50242,Consultant_243,Consulting_Firm_3,PRJ-1004,05-01-2026,REG,6.9,350,2415
C50231,Consultant_232,Consulting_Firm_8,PRJ-1069,05-01-2026,REG,5.8,350,2030
C50120,Consultant_121,Consulting_Firm_2,PRJ-1004,05-01-2026,REG,5.2,185,962
C50185,Consultant_186,Consulting_Firm_1,PRJ-1068,05-01-2026,REG,5.3,185,980.5
C50202,Consultant_203,Consulting_Firm_3,PRJ-1003,05-01-2026,REG,7,275,1925
C50015,Consultant_16,Consulting_Firm_14,PRJ-1004,05-01-2026,REG,5.8,450,2610
C50200,Consultant_201,Consulting_Firm_12,PRJ-1055,05-01-2026,REG,6.2,225,1395
C50070,Consultant_71,Consulting_Firm_13,PRJ-1006,05-01-2026,OT,8.7,185,2414.25
C50233,Consultant_234,Consulting_Firm_11,PRJ-1029,05-01-2026,REG,7.9,350,2765
C50043,Consultant_44,Consulting_Firm_12,PRJ-1008,05-01-2026,REG,5.2,185,962
C50170,Consultant_171,Consulting_Firm_12,PRJ-1111,05-01-2026,REG,7.5,150,1125
C50223,Consultant_224,Consulting_Firm_6,PRJ-1000,05-01-2026,REG,4.1,185,758.5
C50125,Consultant_126,Consulting_Firm_10,PRJ-1079,05-01-2026,REG,6.6,275,1815
C50227,Consultant_228,Consulting_Firm_7,PRJ-1027,05-01-2026,REG,7.5,185,1387.5
C50165,Consultant_166,Consulting_Firm_8,PRJ-1029,05-01-2026,REG,7.5,185,1387.5
C50185,Consultant_186,Consulting_Firm_1,PRJ-1046,05-01-2026,REG,5.6,185,1036
C50196,Consultant_197,Consulting_Firm_10,PRJ-1083,05-01-2026,OT,9.7,275,4001.25
C50193,Consultant_194,Consulting_Firm_3,PRJ-1037,05-01-2026,REG,6.4,350,2240
C50182,Consultant_183,Consulting_Firm_1,PRJ-1078,05-01-2026,REG,6.5,275,1787.5
C50202,Consultant_203,Consulting_Firm_3,PRJ-1099,05-01-2026,REG,7.8,275,2145
C50029,Consultant_30,Consulting_Firm_7,PRJ-1113,05-01-2026,OT,10.4,150,2340
C50175,Consultant_176,Consulting_Firm_3,PRJ-1007,05-01-2026,REG,4.7,450,2115
C50134,Consultant_135,Consulting_Firm_2,PRJ-1008,05-01-2026,REG,6.9,150,1035
C50231,Consultant_232,Consulting_Firm_8,PRJ-1058,05-01-2026,REG,6.1,350,2135
C50142,Consultant_143,Consulting_Firm_9,PRJ-1072,05-01-2026,REG,7.3,185,1350.5
C50084,Consultant_85,Consulting_Firm_9,PRJ-1107,05-01-2026,REG,7.5,185,1387.5
C50216,Consultant_217,Consulting_Firm_2,PRJ-1105,05-01-2026,REG,6.8,185,1258
C50181,Consultant_182,Consulting_Firm_9,PRJ-1054,05-01-2026,REG,4.8,225,1080
C50026,Consultant_27,Consulting_Firm_11,PRJ-1114,05-01-2026,REG,6.2,350,2170
C50232,Consultant_233,Consulting_Firm_12,PRJ-1062,05-01-2026,REG,6.3,225,1417.5
C50134,Consultant_135,Consulting_Firm_2,PRJ-1004,05-01-2026,REG,4.5,150,675
C50218,Consultant_219,Consulting_Firm_1,PRJ-1027,05-01-2026,REG,7.4,350,2590
C50064,Consultant_65,Consulting_Firm_5,PRJ-1035,05-01-2026,OT,11.2,150,2520
C50015,Consultant_16,Consulting_Firm_14,PRJ-1106,05-01-2026,OT,9.1,450,6142.5
C50175,Consultant_176,Consulting_Firm_3,PRJ-1068,05-01-2026,REG,7,450,3150
C50056,Consultant_57,Consulting_Firm_1,PRJ-1083,05-01-2026,REG,6.3,150,945
C50009,Consultant_10,Consulting_Firm_10,PRJ-1106,05-01-2026,OT,11.3,350,5932.5
C50162,Consultant_163,Consulting_Firm_5,PRJ-1080,05-01-2026,REG,6.8,350,2380
C50210,Consultant_211,Consulting_Firm_2,PRJ-1032,05-01-2026,REG,4.2,275,1155
C50122,Consultant_123,Consulting_Firm_14,PRJ-1027,05-01-2026,REG,5.9,150,885
C50228,Consultant_229,Consulting_Firm_2,PRJ-1042,05-01-2026,REG,6.8,225,1530
C50033,Consultant_34,Consulting_Firm_3,PRJ-1046,05-01-2026,REG,4.3,275,1182.5
C50224,Consultant_225,Consulting_Firm_6,PRJ-1012,05-01-2026,REG,7.5,185,1387.5
C50080,Consultant_81,Consulting_Firm_10,PRJ-1072,05-01-2026,REG,4.3,225,967.5
C50065,Consultant_66,Consulting_Firm_14,PRJ-1026,05-01-2026,REG,4.7,350,1645
C50136,Consultant_137,Consulting_Firm_3,PRJ-1034,05-01-2026,REG,7,450,3150
C50241,Consultant_242,Consulting_Firm_1,PRJ-1043,05-01-2026,REG,6.9,185,1276.5
C50175,Consultant_176,Consulting_Firm_3,PRJ-1027,05-01-2026,OT,10.1,450,6817.5
C50013,Consultant_14,Consulting_Firm_12,PRJ-1107,05-01-2026,REG,5,350,1750
C50034,Consultant_35,Consulting_Firm_7,PRJ-1036,05-01-2026,REG,7.8,350,2730
C50085,Consultant_86,Consulting_Firm_12,PRJ-1091,05-01-2026,REG,5.2,150,780
C50146,Consultant_147,Consulting_Firm_3,PRJ-1079,05-01-2026,REG,7.3,225,1642.5
C50129,Consultant_130,Consulting_Firm_1,PRJ-1032,05-01-2026,REG,4.4,350,1540
C50074,Consultant_75,Consulting_Firm_3,PRJ-1048,05-01-2026,REG,4.3,450,1935
C50205,Consultant_206,Consulting_Firm_14,PRJ-1086,05-01-2026,REG,6.5,150,975
C50230,Consultant_231,Consulting_Firm_4,PRJ-1082,05-01-2026,OT,10.6,225,3577.5
C50217,Consultant_218,Consulting_Firm_2,PRJ-1008,05-01-2026,REG,6.4,275,1760
C50030,Consultant_31,Consulting_Firm_15,PRJ-1094,05-01-2026,REG,7,450,3150
C50205,Consultant_206,Consulting_Firm_14,PRJ-1086,05-01-2026,REG,4.6,150,690
C50092,Consultant_93,Consulting_Firm_13,PRJ-1054,05-01-2026,REG,7.1,275,1952.5
C50044,Consultant_45,Consulting_Firm_1,PRJ-1055,05-01-2026,REG,4.2,150,630
C50109,Consultant_110,Consulting_Firm_9,PRJ-1037,05-01-2026,REG,5.6,185,1036
C50248,Consultant_249,Consulting_Firm_15,PRJ-1049,05-01-2026,REG,6.2,225,1395
C50105,Consultant_106,Consulting_Firm_1,PRJ-1064,05-01-2026,OT,9.7,150,2182.5
C50164,Consultant_165,Consulting_Firm_15,PRJ-1009,05-01-2026,REG,7.4,150,1110
C50187,Consultant_188,Consulting_Firm_14,PRJ-1083,05-01-2026,REG,6,350,2100
C50234,Consultant_235,Consulting_Firm_14,PRJ-1039,05-01-2026,REG,7.7,150,1155
C50059,Consultant_60,Consulting_Firm_15,PRJ-1021,05-01-2026,REG,7.2,275,1980
C50044,Consultant_45,Consulting_Firm_1,PRJ-1108,05-01-2026,REG,5.5,150,825
